Symbol,Name,Sector,Market Cap
CURY.L,Stock FTSE 250,Unknown,500000000
DLN.L,Stock FTSE 250,Unknown,500000000
DSCV.L,Stock FTSE 250,Unknown,500000000
DOM.L,Stock FTSE 250,Unknown,500000000
DRX.L,Stock FTSE 250,Unknown,500000000
DOCS.L,Stock FTSE 250,Unknown,500000000
DNLM.L,Stock FTSE 250,Unknown,500000000
EDIN.L,Stock FTSE 250,Unknown,500000000
EWI.L,Stock FTSE 250,Unknown,500000000
ELM.L,Stock FTSE 250,Unknown,500000000
ENOG.L,Stock FTSE 250,Unknown,500000000
ESCT.L,Stock FTSE 250,Unknown,500000000
FCSS.L,Stock FTSE 250,Unknown,500000000
FEML.L,Stock FTSE 250,Unknown,500000000
FEV.L,Stock FTSE 250,Unknown,500000000
FSV.L,Stock FTSE 250,Unknown,500000000
FGT.L,Stock FTSE 250,Unknown,500000000
FGP.L,Stock FTSE 250,Unknown,500000000
FGEN.L,Stock FTSE 250,Unknown,500000000
FSG.L,Stock FTSE 250,Unknown,500000000
FRAS.L,Stock FTSE 250,Unknown,500000000
FCH.L,Stock FTSE 250,Unknown,500000000
FUTR.L,Stock FTSE 250,Unknown,500000000
GFRD.L,Stock FTSE 250,Unknown,500000000
GAMA.L,Stock FTSE 250,Unknown,500000000
GBG.L,Stock FTSE 250,Unknown,500000000
GCP.L,Stock FTSE 250,Unknown,500000000
GEN.L,Stock FTSE 250,Unknown,500000000
GNS.L,Stock FTSE 250,Unknown,500000000
GSCT.L,Stock FTSE 250,Unknown,500000000
GDWN.L,Stock FTSE 250,Unknown,500000000
GFTU.L,Stock FTSE 250,Unknown,500000000
GRI.L,Stock FTSE 250,Unknown,500000000
GPE.L,Stock FTSE 250,Unknown,500000000
UKW.L,Stock FTSE 250,Unknown,500000000
GNC.L,Stock FTSE 250,Unknown,500000000
GRG.L,Stock FTSE 250,Unknown,500000000
HMSO.L,Stock FTSE 250,Unknown,500000000
HBR.L,Stock FTSE 250,Unknown,500000000
HVPE.L,Stock FTSE 250,Unknown,500000000
HWG.L,Stock FTSE 250,Unknown,500000000
HAS.L,Stock FTSE 250,Unknown,500000000
HTWS.L,Stock FTSE 250,Unknown,500000000
HSL.L,Stock FTSE 250,Unknown,500000000
HRI.L,Stock FTSE 250,Unknown,500000000
HGT.L,Stock FTSE 250,Unknown,500000000
HICL.L,Stock FTSE 250,Unknown,500000000
HILS.L,Stock FTSE 250,Unknown,500000000
HFG.L,Stock FTSE 250,Unknown,500000000
HOC.L,Stock FTSE 250,Unknown,500000000
BOWL.L,Stock FTSE 250,Unknown,500000000
HTG.L,Stock FTSE 250,Unknown,500000000
IBST.L,Stock FTSE 250,Unknown,500000000
ICGT.L,Stock FTSE 250,Unknown,500000000
IGG.L,Stock FTSE 250,Unknown,500000000
IEM.L,Stock FTSE 250,Unknown,500000000
INCH.L,Stock FTSE 250,Unknown,500000000
IHP.L,Stock FTSE 250,Unknown,500000000
IPF.L,Stock FTSE 250,Unknown,500000000
INPP.L,Stock FTSE 250,Unknown,500000000
IWG.L,Stock FTSE 250,Unknown,500000000
IAD.L,Stock FTSE 250,Unknown,500000000
INVP.L,Stock FTSE 250,Unknown,500000000
IPO.L,Stock FTSE 250,Unknown,500000000
ITH.L,Stock FTSE 250,Unknown,500000000
ITV.L,Stock FTSE 250,Unknown,500000000
JMAT.L,Stock FTSE 250,Unknown,500000000
JSG.L,Stock FTSE 250,Unknown,500000000
JAM.L,Stock FTSE 250,Unknown,500000000
JEMI.L,Stock FTSE 250,Unknown,500000000
JMG.L,Stock FTSE 250,Unknown,500000000
JEDT.L,Stock FTSE 250,Unknown,500000000
JEGI.L,Stock FTSE 250,Unknown,500000000
